nm,pres_stat,bnf_code
Peginterferon alfa-2a 180micrograms/0.5ml solution for injection pre-filled syringes,1,0802040A0AAAFAF
Darbepoetin alfa 80micrograms/0.4ml solution for injection pre-filled syringes,1,0901030J0AAAJAJ
Darbepoetin alfa 100micrograms/0.5ml solution for injection pre-filled syringes,1,0901030J0AAAGAG
Darbepoetin alfa 150micrograms/0.3ml solution for injection pre-filled syringes,1,0901030J0AAAIAI
Sumatriptan 6mg/0.5ml solution for injection pre-filled syringes with device,1,0407041T0AAADAD
Interferon alfa-2a 4.5million units/0.5ml solution for injection pre-filled syringes,1,0802040J0AAAWAW
Interferon beta-1a 12million units/0.5ml solution for injection pre-filled syringes,1,0802040M0AAAGAG
Interferon beta-1a 6million units/0.5ml solution for injection pre-filled syringes,9,0802040M0AAAFAF
Filgrastim 30million units/0.5ml solution for injection pre-filled syringes,9,0901060I0AAALAL
Filgrastim 48million units/0.5ml solution for injection pre-filled syringes,9,0901060I0AAAMAM
Naloxone 400micrograms/1ml solution for injection pre-filled syringes,1,1902070Q0AAADAD
Naloxone 2mg/2ml solution for injection pre-filled syringes,1,1902070Q0AAAFAF
Interferon alfa-2b 60million units/1.2ml solution for injection pre-filled disposable devices,9,0802040J0AABDBD
Lidocaine 160mg/4ml (4%) oromucosal solution pre-filled syringes,1,1502010J0AAEAEA
Naloxone 800micrograms/2ml solution for injection pre-filled syringes,1,1902070Q0AAAHAH
Lidocaine 100mg/5ml (2%) solution for injection pre-filled syringes,1,1502010J0AAEBEB
Bretylium tosilate 500mg/10ml solution for injection pre-filled syringes,1,0203020E0AAABAB
Aminophylline 250mg/10ml solution for injection pre-filled syringes,1,0301030B0AAA9A9
Lidocaine 100mg/10ml (1%) solution for injection pre-filled syringes,1,0203020L0AAABAB
Anakinra 100mg/0.67ml solution for injection pre-filled syringes,1,1001030R0AAAAAA
Propofol 1g/50ml emulsion for infusion pre-filled syringes,1,1501010L0AAAGAG
Somatropin (rbe) 200microgram powder and solvent for solution for injection pre-filled disposable devices,1,0605010S0AAAYAY
Somatropin (rbe) 400microgram powder and solvent for solution for injection pre-filled disposable devices,1,0605010S0AAAVAV
Dopamine 200mg/5ml solution for infusion pre-filled syringes,1,0207010F0AAACAC
Dopamine 400mg/10ml solution for infusion pre-filled syringes,1,0207010F0AAADAD
Propofol 500mg/50ml emulsion for infusion pre-filled syringes,1,1501010L0AAAFAF
"Dalteparin sodium 7,500units/0.3ml solution for injection pre-filled syringes",1,0208010L0AAAKAK
Somatropin (rbe) 600microgram powder and solvent for solution for injection pre-filled disposable devices,1,0605010S0AAAWAW
Somatropin (rbe) 800microgram powder and solvent for solution for injection pre-filled disposable devices,1,0605010S0AAAXAX
Somatropin (rbe) 1.2mg powder and solvent for solution for injection pre-filled disposable devices,1,0605010S0AABCBC
"Epoetin beta 60,000unit powder and solvent for solution for injection pre-filled disposable devices",9,0901030E0AAAWAW
Somatropin (rbe) 1mg powder and solvent for solution for injection pre-filled disposable devices,1,0605010S0AAAHAH
Somatropin (rbe) 1.4mg powder and solvent for solution for injection pre-filled disposable devices,1,0605010S0AABDBD
Somatropin (rbe) 1.6mg powder and solvent for solution for injection pre-filled disposable devices,1,0605010S0AABEBE
Somatropin (rbe) 1.8mg powder and solvent for solution for injection pre-filled disposable devices,1,0605010S0AABFBF
Somatropin (rbe) 2mg powder and solvent for solution for injection pre-filled disposable devices,1,0605010S0AABGBG
Amiodarone 300mg/10ml solution for injection pre-filled syringes,1,0203020D0AABVBV
"Reviparin sodium 1,432units/0.25ml solution for injection pre-filled syringes",1,0208010AAAAAAAA
Adalimumab 40mg/0.8ml solution for injection pre-filled syringes,1,1001030S0AAAAAA
Teriparatide 750micrograms/3ml solution for injection pre-filled disposable devices,1,0606010U0AAAAAA
"Epoetin beta 10,000unit powder and solvent for solution for injection pre-filled disposable devices",9,0901030E0AAAIAI
"Epoetin beta 20,000unit powder and solvent for solution for injection pre-filled disposable devices",9,0901030E0AAAJAJ
"Epoetin beta 20,000units/0.6ml solution for injection pre-filled syringes",1,0901030E0AAAXAX
"Epoetin beta 30,000units/0.6ml solution for injection pre-filled syringes",1,0901030E0AAAYAY
"Bemiparin sodium 2,500units/0.2ml solution for injection pre-filled syringes",1,0208010ACAAABAB
"Bemiparin sodium 3,500units/0.2ml solution for injection pre-filled syringes",1,0208010ACAAACAC
"Bemiparin sodium 5,000units/0.2ml solution for injection pre-filled syringes",1,0208010ACAAADAD
"Bemiparin sodium 7,500units/0.3ml solution for injection pre-filled syringes",1,0208010ACAAAAAA
"Bemiparin sodium 10,000units/0.4ml solution for injection pre-filled syringes",1,0208010ACAAAEAE
Insulin detemir 100units/ml solution for injection 3ml pre-filled disposable devices,9,0601012X0AAABAB
Darbepoetin alfa 300micrograms/0.6ml solution for injection pre-filled syringes,1,0901030J0AAAKAK
Peginterferon alfa-2b 50microgram powder and solvent for solution for injection pre-filled disposable devices,9,0802040A0AAAJAJ
Peginterferon alfa-2b 80microgram powder and solvent for solution for injection pre-filled disposable devices,9,0802040A0AAALAL
Peginterferon alfa-2b 100microgram powder and solvent for solution for injection pre-filled disposable devices,9,0802040A0AAAKAK
Peginterferon alfa-2b 120microgram powder and solvent for solution for injection pre-filled disposable devices,9,0802040A0AAAIAI
Peginterferon alfa-2b 150microgram powder and solvent for solution for injection pre-filled disposable devices,9,0802040A0AAAHAH
Labetalol 50mg/10ml solution for injection pre-filled syringes,1,0204000I0AAAPAP
Interferon alfa-2a 18million units/0.5ml solution for injection pre-filled syringes,1,0802040J0AABGBG
Methotrexate 50mg/2ml solution for injection pre-filled syringes,1,0801030P0AADVDV
Methotrexate 35mg/1.4ml solution for injection pre-filled syringes,1,0801030P0AADNDN
Methotrexate 32.5mg/1.3ml solution for injection pre-filled syringes,1,0801030P0AAEAEA
Methotrexate 30mg/1.2ml solution for injection pre-filled syringes,1,0801030P0AACGCG
Methotrexate 27.5mg/1.1ml solution for injection pre-filled syringes,1,0801030P0AADRDR
Methotrexate 25mg/1ml solution for injection pre-filled syringes,1,0801030P0AAFGFG
Methotrexate 22.5mg/0.9ml solution for injection pre-filled syringes,1,0801030P0AAFFFF
Methotrexate 20mg/0.8ml solution for injection pre-filled syringes,1,0801030P0AAFEFE
Methotrexate 17.5mg/0.7ml solution for injection pre-filled syringes,1,0801030P0AAFLFL
Methotrexate 15mg/0.6ml solution for injection pre-filled syringes,1,0801030P0AAFKFK
Methotrexate 12.5mg/0.5ml solution for injection pre-filled syringes,1,0801030P0AAFJFJ
Methotrexate 10mg/0.4ml solution for injection pre-filled syringes,1,0801030P0AAFHFH
Methotrexate 7.5mg/0.3ml solution for injection pre-filled syringes,1,0801030P0AAFIFI
Methotrexate 5mg/0.2ml solution for injection pre-filled syringes,1,0801030P0AABPBP
Naloxone 2mg/5ml solution for injection pre-filled syringes,1,1902070Q0AAAGAG
Etanercept 25mg/0.5ml solution for injection pre-filled syringes,9,1001030D0AAADAD
"Epoetin alfa 2,000units/1ml solution for injection pre-filled syringes",1,0901030D0AAAWAW
Filgrastim 48million units/0.8ml solution for injection pre-filled syringes,9,0901060I0AAANAN
Methotrexate 25mg/3ml solution for injection pre-filled syringes,1,0801030P0AAFDFD
Liraglutide 6mg/ml solution for injection 3ml pre-filled disposable devices,1,0601023ABAAAAAA
Etanercept 50mg/1ml solution for injection pre-filled disposable devices,9,1001030D0AAAEAE
Exenatide 2mg powder and solvent for prolonged-release suspension for injection pre-filled disposable devices,1,0601023Y0AAADAD
Fluorouracil 1000mg/40ml solution for injection pre-filled syringes,1,0801030H0AABCBC
Methadone 60mg impregnated cigarettes,1,0407020M0AAAXAX
Methadone 30mg impregnated cigarettes,1,0407020M0AAAJAJ
Methadone 100mg impregnated cigarettes,1,0407020M0AAA2A2
Methadone 40mg impregnated cigarettes,1,0407020M0AAAGAG
Lidocaine 5% medicated plasters,1,1502010J0AAELEL
Carmustine 7.7mg implant,1,0801010D0AAABAB
Alprostadil 125microgram urethral sticks,1,0704050B0AAAYAY
Alprostadil 250microgram urethral sticks,1,0704050B0AAAZAZ
Alprostadil 500microgram urethral sticks,1,0704050B0AABABA
Levonorgestrel 20micrograms/24hours intrauterine device,9,0703023L0AAAAAA
Dinoprostone 10mg vaginal device,1,0701010I0AAAHAH
Prednisolone 20mg/application foam enema,1,0105020D0AAACAC
Mesalazine 1g/application foam enema,1,0105010B0AAAKAK
"Nystatin 100,000unit pastilles",1,1203020N0AAAAAA
Dextromethorphan 7.5mg pastilles sugar free,1,0309010L0AAASAS
Gadobutrol 1mmol/ml solution for injection 10ml pre-filled syringes,1,
Sulfasalazine 3g/100ml retention enema,1,0105010E0AAADAD
Prednisolone 20mg/100ml rectal solution,1,0105020E0AAABAB
Docusate 120mg/10g enema,1,0106020I0AAAJAJ
Mesalazine 1g/100ml enema,1,0105010B0AAACAC
Budesonide 2mg/100ml enema,1,0105020A0AAABAB
Mesalazine 2g/59ml enema,1,0105010B0AAALAL
Prilocaine 80mg/2ml solution for injection 2ml cartridges,1,
Insulin isophane human 100units/ml suspension for injection 1.5ml cartridges,9,0601012S0AAAMAM
Insulin isophane human 100units/ml suspension for injection 3ml cartridges,9,0601012S0AAALAL
Insulin isophane bovine 100units/ml suspension for injection 1.5ml cartridges,9,0601012S0AAANAN
Insulin aspart 100units/ml solution for injection 3ml cartridges,9,0601011A0AAABAB
Insulin lispro 100units/ml solution for injection 1.5ml cartridges,9,0601011L0AAAAAA
Insulin isophane porcine 100units/ml suspension for injection 1.5ml cartridges,9,0601012S0AAAPAP
Insulin lispro 100units/ml solution for injection 3ml cartridges,9,0601011L0AAACAC
Insulin glargine 100units/ml solution for injection 3ml cartridges,9,0601012V0AAAAAA
Somatropin (rbe) 12mg powder and solvent for solution for injection cartridges,1,0605010S0AAATAT
Somatropin (rbe) 5.3mg powder and solvent for solution for injection cartridges,1,0605010S0AAAFAF
Follitropin beta 600units/0.72ml solution for injection cartridges,1,0605010K0AAAIAI
Insulin isophane bovine 100units/ml suspension for injection 3ml cartridges,9,0601012S0AAASAS
Insulin isophane porcine 100units/ml suspension for injection 3ml cartridges,9,0601012S0AAATAT
Somatropin (epr) 5mg/1.5ml solution for injection cartridges,9,0605010S0AAAZAZ
Somatropin (epr) 10mg/1.5ml solution for injection cartridges,9,0605010S0AABABA
Somatropin (rbe) 6mg powder and solvent for solution for injection cartridges,1,0605010S0AAARAR
Somatropin (epr) 15mg/1.5ml solution for injection cartridges,9,0605010S0AABBBB
Interferon alfa-2a 18million units/0.6ml solution for injection cartridges,1,0802040J0AABFBF
Follitropin beta 300units/0.36ml solution for injection cartridges,1,0605010K0AAAHAH
Somatropin (rbe) 24mg powder and solvent for solution for injection cartridges,1,0605010S0AAASAS
Insulin detemir 100units/ml solution for injection 3ml cartridges,9,0601012X0AAAAAA
Somatropin (rbe) 5mg/1.5ml solution for injection cartridges,9,0605010S0AABKBK
Estradiol 25microgram pessaries,1,0702010G0AAAAAA
"Nystatin 100,000unit pessaries",1,0702020T0AAAFAF
Dinoprostone 3mg pessaries,1,0701010I0AAAAAA
Sodium amidotrizoate 25% solution for injection 250ml bottles,1,
Iopamidol 61.2% (Iodine 300mg/ml) solution for infusion 75ml bottles,1,
Iopamidol 69.4% (Iodine 340mg/ml) solution for infusion 75ml bottles,1,
Iopamidol 75.5% (Iodine 370mg/ml) solution for infusion 75ml bottles,1,
Meglumine iotroxate 105mg/ml (Iodine 50mg/ml) solution for infusion 100ml bottles,1,
Meglumine amidotrizoate 260mg/ml / Sodium amidotrizoate 40mg/ml (Iodine 150mg/ml) solution for infusion 250ml bottles,1,
Meglumine amidotrizoate 260mg/ml / Sodium amidotrizoate 40mg/ml (Iodine 150mg/ml) solution for infusion 500ml bottles,1,
Meglumine amidotrizoate 180mg/ml / Sodium amidotrizoate 400mg/ml (Iodine 325mg/ml) solution for infusion 50ml bottles,1,
Ioversol 678mg/ml (Iodine 320mg/ml) solution for infusion 50ml bottles,1,
Ioversol 678mg/ml (Iodine 320mg/ml) solution for infusion 75ml bottles,1,
Ioversol 678mg/ml (Iodine 320mg/ml) solution for infusion 100ml bottles,1,
Ioversol 678mg/ml (Iodine 320mg/ml) solution for infusion 200ml bottles,1,
Ioversol 509mg/ml (Iodine 240mg/ml) solution for infusion 50ml bottles,1,
Ioversol 509mg/ml (Iodine 240mg/ml) solution for infusion 100ml bottles,1,
Ioversol 741mg/ml (Iodine 350mg/ml) solution for infusion 50ml bottles,1,
Ioversol 741mg/ml (Iodine 350mg/ml) solution for infusion 100ml bottles,1,
Ioversol 741mg/ml (Iodine 350mg/ml) solution for infusion 200ml bottles,1,
Ioversol 339mg/ml (Iodine 160mg/ml) solution for infusion 50ml bottles,1,
Ioversol 636mg/ml (Iodine 300mg/ml) solution for infusion 150ml bottles,1,
Ioversol 636mg/ml (Iodine 300mg/ml) solution for infusion 50ml bottles,1,
Ioversol 636mg/ml (Iodine 300mg/ml) solution for infusion 75ml bottles,1,
Ioversol 636mg/ml (Iodine 300mg/ml) solution for infusion 100ml bottles,1,
Flucytosine 2.5g/250ml solution for infusion bottles,1,
Ofloxacin 100mg/50ml solution for infusion bottles,1,
Isosorbide dinitrate 100mg/100ml solution for infusion bottles,1,
Dopamine 400mg/250ml solution for injection bottles,1,
Dopamine 800mg/250ml solution for injection bottles,1,
Ciprofloxacin 100mg/50ml solution for infusion bottles,1,0501120L0AAABAB
Polygeline 17.5g/500ml solution for injection bottles,1,0902022I0AAABAB
Ofloxacin 200mg/100ml solution for infusion bottles,1,0501120P0AAACAC
Foscarnet sodium 6g/250ml solution for infusion bottles,1,0503022E0AAABAB
Isosorbide dinitrate 50mg/50ml infusion bottles,1,0206010I0BGAFA0
Isosorbide dinitrate 25mg/50ml infusion bottles,1,0206010I0AAAYAY
Ciprofloxacin 200mg/100ml solution for infusion bottles,1,0501120L0AAADAD
Ciprofloxacin 400mg/200ml solution for infusion bottles,1,0501120L0AAAYAY
Zoledronic acid 5mg/100ml infusion bottles,1,0606020V0AAACAC
Diazepam 10mg/2.5ml rectal solution tube,1,0401020K0AAAEAE
Diazepam 5mg/2.5ml rectal solution tube,1,0401020K0AAADAD
Diazepam 2.5mg/1.25ml rectal solution tube,1,0401020K0AABQBQ
Testosterone 50mg/5g gel unit dose tube,1,0604020K0AABKBK
Flucloxacillin 125mg / 5ml oral solution sugar free,1,
Amitriptyline 10mg/5ml oral solution sugar-free,1,
Diazepam 2mg/5ml oral solution sugar- free,1,
Amantadine 50mg/5ml oral solution sugar free,1,0409010B0AAABAB
Pizotifen 250micrograms/5ml oral solution sugar free,1,0407042Q0AAAAAA
Ibuprofen 100mg/5ml oral suspension,1,1001010J0AAACAC
Clomethiazole 157.5mg/5ml oral solution sugar free,1,0401010D0AAACAC
Promethazine 5mg/5ml oral solution sugar free,1,0304010W0AAAPAP
Pseudoephedrine 30mg/5ml oral solution sugar free,1,0310000N0AAAFAF
Pholcodine 2mg/5ml oral solution sugar free,1,0309010X0AAARAR
Sodium feredetate (iron 27.5mg/5ml) oral solution sugar free,1,0901011W0AAAAAA
Sucralfate 1g/5ml oral suspension sugar free,1,0103030S0AAABAB
Docusate 50mg/5ml oral solution sugar free,1,0106020I0AAAIAI
Docusate 12.5mg/5ml oral solution sugar free,1,0106020I0AAAHAH
Orphenadrine 25mg/5ml oral solution sugar free,1,0409020N0AAABAB
Ursodeoxycholic acid 250mg/5ml oral suspension sugar free,1,0109010U0AABEBE
Indometacin 25mg/5ml oral suspension sugar free,2,1001010K0AAAEAE
Pholcodine 4mg/5ml oral solution sugar free,1,0309010X0AAAAAA
Guaifenesin 50mg/5ml oral solution sugar free,1,0309020G0AAANAN
Dextromethorphan 3.75mg/5ml oral solution sugar free,2,0309010L0AAAUAU
Guaifenesin 33.33mg/5ml oral solution sugar free,1,0309020G0AAAJAJ
Isoprenaline hydrochloride 95micrograms/10ml solution for injection ampoules,1,
Secretin 20microgram powder and solvent for solution for injection ampoules,1,
Trometamol 36.34% solution for infusion 20ml ampoules,1,
Fomepizole 100mg/20ml solution for infusion ampoules,1,
Muromonab-CD3 solution for injection 5mg/5ml ampoules,1,
Nicardipine 25mg/10ml solution for infusion ampoules,1,
Isoprenaline hydrochloride 200micrograms/1ml solution for injection ampoules,1,
Isoprenaline hydrochloride 1mg/5ml solution for injection ampoules,1,
Esmolol 2.5g/10ml solution for infusion ampoules,1,
Sodium amidotrizoate 45% solution for injection 20ml ampoules,1,
Alemtuzumab 30mg/3ml solution for infusion ampoules,1,
Midazolam 90mg/18ml solution for injection ampoules,1,
Calcium folinate 15mg/2ml solution for injection ampoules,1,0801000I0AAAGAG
Calcium folinate 3mg/1ml solution for injection ampoules,1,0801000I0AAAAAA
Pethidine 100mg/2ml solution for injection ampoules,1,0407020V0AAAEAE
Ranitidine 50mg/2ml solution for injection ampoules,1,0103010T0AAADAD
Salbutamol 5mg/5ml solution for infusion ampoules,1,0301011R0AABCBC
Alfacalcidol 1micrograms/0.5ml solution for injection ampoules,1,0906040B0AAAFAF
Alfacalcidol 2micrograms/1ml solution for injection ampoules,1,0906040B0AAAGAG
Terbutaline 2.5mg/5ml solution for injection ampoules,1,0301011V0AAAKAK
Trimethoprim 100mg/5ml solution for injection ampoules,1,0501080W0AAAAAA
Pethidine 50mg/5ml solution for injection ampoules,1,0407020V0AAAPAP
Terbutaline 500micrograms/1ml solution for injection ampoules,1,0301011V0AAABAB
Pethidine 100mg/10ml solution for injection ampoules,1,0407020V0AAALAL
Cyanocobalamin 1mg/1ml solution for injection ampoules,1,0901020D0AAADAD
Pethidine 50mg/1ml solution for injection ampoules,1,0407020V0AAAAAA
Furosemide 50mg/5ml solution for injection ampoules,1,0202020L0AAABAB
Furosemide 20mg/2ml solution for injection ampoules,1,0202020L0AAAAAA
Diclofenac 75mg/3ml solution for injection ampoules,1,1001010C0AAAAAA
Furosemide 250mg/25ml solution for injection ampoules,1,0202020L0AAADAD
Cyclizine 50mg/1ml solution for injection ampoules,1,0406000G0AAAAAA
Tramadol 100mg/2ml solution for injection ampoules,1,040702040AAABAB
Chlorpromazine 50mg/2ml solution for injection ampoules,1,0402010D0AAAMAM
Phenobarbital 200mg/1ml solution for injection ampoules,1,0408010P0AAAAAA
Triamcinolone acetonide 10mg/1ml suspension for injection ampoules,1,1001022U0AAAAAA
Diazepam 10mg/2ml solution for injection ampoules,1,0401020K0AAACAC
Sodium aurothiomalate 10mg/0.5ml solution for injection ampoules,1,1001030J0AAACAC
Sodium aurothiomalate 20mg/0.5ml solution for injection ampoules,1,1001030J0AAADAD
Sodium aurothiomalate 50mg/0.5ml solution for injection ampoules,1,1001030J0AAAEAE
Prochlorperazine 12.5mg/1ml solution for injection ampoules,1,0406000U0AAABAB
Prednisolone 25mg/1ml suspension for injection ampoules,1,1001022N0AAABAB
Chlorphenamine 10mg/1ml solution for injection ampoules,1,0304010G0AAAAAA
Flecainide 150mg/15ml solution for injection ampoules,1,0203020I0AAAAAA
Ketoprofen 100mg/2ml solution for injection ampoules,1,1001010L0AAAGAG
Dipyridamole 10mg/2ml solution for injection ampoules,1,0209000L0AAAAAA
Cimetidine 200mg/2ml solution for injection ampoules,1,0103010D0AAAEAE
Tranexamic acid 500mg/5ml solution for injection ampoules,1,0211000P0AAAAAA
Aminophylline 250mg/10ml solution for injection ampoules,1,0301030B0AAABAB
Digoxin 500micrograms/2ml solution for infusion ampoules,1,0201010F0AAACAC
Ciclosporin 50mg/1ml solution for infusion ampoules,1,0802020G0AAAAAA
Piroxicam 20mg/1ml solution for injection ampoules,1,1001010R0AAAHAH
Clonidine 150micrograms/1ml solution for injection ampoules,1,0205020E0AAABAB
Ciclosporin 250mg/5ml solution for infusion ampoules,1,0802020G0AAAEAE
Amiodarone 150mg/3ml solution for injection ampoules,1,0203020D0AAADAD
Promethazine 25mg/1ml solution for injection ampoules,1,0304010W0AAABAB
Sotalol 40mg/4ml solution for injection ampoules,1,0204000T0AAAHAH
Atenolol 5mg/10ml solution for injection ampoules,1,0204000E0AAADAD
Meptazinol 100mg/1ml solution for injection ampoules,1,0407020L0AAAAAA
Nizatidine 100mg/4ml solution for infusion ampoules,1,0103010N0AAACAC
Metoclopramide 10mg/2ml solution for injection ampoules,1,0406000P0AAABAB
Hydroxocobalamin 1mg/1ml solution for injection ampoules,1,0901020N0AAABAB
Procyclidine 10mg/2ml solution for injection ampoules,1,0409020S0AAACAC
Metoclopramide 100mg/20ml solution for injection ampoules,1,0406000P0AAAFAF
Flupentixol 50mg/0.5ml solution for injection ampoules,1,0402020G0AAAHAH
Flupentixol 100mg/1ml solution for injection ampoules,1,0402020G0AAABAB
Flupentixol 40mg/2ml solution for injection ampoules,1,0402020G0AAACAC
Flupentixol 20mg/1ml solution for injection ampoules,1,0402020G0AAAAAA
Flupentixol 200mg/1ml solution for injection ampoules,1,0402020G0AAAIAI
Haloperidol 5mg/1ml solution for injection ampoules,1,0402010J0AAACAC
Midazolam 10mg/2ml solution for injection ampoules,1,1501041T0AAAAAA
Lidocaine 20mg/2ml (1%) solution for injection ampoules,1,1502010J0AABUBU
Lidocaine 100mg/5ml (2%) solution for injection ampoules,1,1502010J0AACBCB
Lidocaine 50mg/5ml (1%) solution for injection ampoules,1,1502010J0AABDBD
Lidocaine 40mg/2ml (2%) solution for injection ampoules,1,1502010J0AABEBE
"Ergocalciferol 300,000units/1ml solution for injection ampoules",1,0906040N0AACACA
"Ergocalciferol 600,000units/2ml solution for injection ampoules",1,0906040N0AACPCP
Benzatropine 2mg/2ml solution for injection ampoules,1,0409020E0AAAAAA
Buprenorphine 300micrograms/1ml solution for injection ampoules,1,0407020B0AAAAAA
Calcitriol 1micrograms/1ml solution for injection ampoules,1,0906040C0AAAEAE
Metoprolol 5mg/5ml solution for injection ampoules,1,0204000K0AAAAAA
Ascorbic acid 500mg/5ml solution for injection ampoules,1,0906031C0AAAAAA
Calcitriol 2micrograms/1ml solution for injection ampoules,1,0906040C0AAADAD
Baclofen 50micrograms/1ml solution for injection ampoules,1,1002020C0AAA2A2
Baclofen 10mg/20ml solution for infusion ampoules,1,1002020C0AAA4A4
Baclofen 10mg/5ml solution for infusion ampoules,1,1002020C0AAA3A3
Lidocaine 100mg/10ml (1%) solution for injection ampoules,1,1502010J0AABWBW
Dornase alfa 2.5mg/2.5ml nebuliser liquid ampoules,1,0307000K0AAAAAA
Lidocaine 200mg/20ml (1%) solution for injection ampoules,1,1502010J0AACJCJ
Lidocaine 400mg/20ml (2%) solution for injection ampoules,1,1502010J0AACUCU
"Chorionic gonadotrophin 10,000unit powder and solvent for solution for injection ampoules",1,0605010D0AAAGAG
Octreotide 100micrograms/1ml solution for injection ampoules,1,0803043N0AAABAB
Pipotiazine 50mg/1ml solution for injection ampoules,1,0402020V0AAAAAA
Glycopyrronium bromide 200micrograms/1ml solution for injection ampoules,1,1501030G0AAAAAA
"Chorionic gonadotrophin 5,000unit powder and solvent for solution for injection ampoules",1,0605010D0AAAEAE
Gentamicin 80mg/2ml solution for injection ampoules,1,0501040H0AAAAAA
Phytomenadione 1mg/0.5ml solution for injection ampoules,1,0906060Q0AAAAAA
Octreotide 50micrograms/1ml solution for injection ampoules,1,0803043N0AAAAAA
Midazolam 10mg/5ml solution for injection ampoules,1,1501041T0AAABAB
Nandrolone 50mg/1ml solution for injection ampoules,1,0604030L0AAABAB
Tetracosactide 1mg/1ml suspension for injection ampoules,1,0605010T0AAABAB
Hydralazine 20mg powder for solution for injection ampoules,1,0205010J0AAAKAK
Lorazepam 4mg/1ml solution for injection ampoules,1,0401020P0AAAAAA
Salbutamol 500micrograms/1ml solution for injection ampoules,1,0301011R0AAAUAU
Haloperidol 20mg/2ml solution for injection ampoules,1,0402010J0AAADAD
Betamethasone 4mg/1ml solution for injection ampoules,1,0603020C0AAAAAA
Acetylcysteine 2g/10ml solution for infusion ampoules,1,1902070A0AAAAAA
"Dalteparin sodium 10,000units/1ml solution for injection ampoules",1,0208010L0AAACAC
"Dalteparin sodium 10,000units/4ml solution for injection ampoules",1,0208010L0AAADAD
Diazepam 10mg/2ml emulsion for injection ampoules,1,0401020K0AAAQAQ
Desmopressin 4micrograms/1ml solution for injection ampoules,1,0605020E0AAAAAA
Fentanyl 100micrograms/2ml solution for injection ampoules,1,1501043F0AAAAAA
Dihydrocodeine 50mg/1ml solution for injection ampoules,1,0407020G0AAABAB
Gentamicin 40mg/1ml solution for injection ampoules,1,0501040H0AAAQAQ
Glycopyrronium bromide 600micrograms/3ml solution for injection ampoules,1,1501030G0AAABAB
"Hyaluronidase 1,500unit powder for solution for injection ampoules",1,1003010P0AAAAAA
Lidocaine 50mg/10ml (0.5%) solution for injection ampoules,1,1502010J0AACFCF
Phytomenadione 2mg/0.2ml solution for injection ampoules,1,0906060Q0AAASAS
Dexamethasone 4mg/1ml solution for injection ampoules,1,0603020H0AAABAB
Dexamethasone (base) 3.3mg/1ml solution for injection ampoules,1,0603020AAAAABAB
Nefopam 20mg/1ml solution for injection ampoules,1,0407010P0AAAAAA
Naloxone 400micrograms/1ml solution for injection ampoules,1,1902070Q0AAAAAA
Nalbuphine 10mg/1ml solution for injection ampoules,1,0407020Y0AAAAAA
Nalbuphine 20mg/2ml solution for injection ampoules,1,0407020Y0AAADAD
Ketorolac 10mg/1ml solution for injection ampoules,1,1501042E0AAABAB
Ketorolac 30mg/1ml solution for injection ampoules,1,1501042E0AAAAAA
Ondansetron 4mg/2ml solution for injection ampoules,1,0406000S0AAAAAA
Ondansetron 8mg/4ml solution for injection ampoules,1,0406000S0AAADAD
Octreotide 500micrograms/1ml solution for injection ampoules,1,0803043N0AAACAC
Phentolamine 10mg/1ml solution for injection ampoules,1,0205040P0AAAAAA
Pentazocine 30mg/1ml solution for injection ampoules,1,0407020U0AAAAAA
Pentazocine 60mg/2ml solution for injection ampoules,1,0407020U0AAACAC
Phytomenadione 10mg/1ml solution for injection ampoules,1,0906060Q0AAABAB
Enoximone 100mg/20ml solution for injection ampoules,1,0201020G0AAAAAA
Progesterone 50mg/1ml solution for injection ampoules,1,0604012S0AAADAD
Tobramycin 300mg/5ml nebuliser liquid ampoules,1,0501040U0AAAGAG
Tetracosactide 250micrograms/1ml solution for injection ampoules,1,0605010T0AAAAAA
Follitropin alfa 75unit powder and solvent for solution for injection ampoules,1,0605010I0AAAAAA
Follitropin alfa 150unit powder and solvent for solution for injection ampoules,1,0605010I0AAABAB
Urofollitropin 75unit powder and solvent for solution for injection ampoules,1,0605010M0AAACAC
"Chorionic gonadotrophin 1,500unit powder and solvent for solution for injection ampoules",1,0605010D0AAACAC
Urofollitropin 150unit powder and solvent for solution for injection ampoules,1,0605010M0AAADAD
"Chorionic gonadotrophin 2,000unit powder and solvent for solution for injection ampoules",1,0605010D0AAADAD
Tobramycin 80mg/2ml solution for infusion ampoules,1,0501040U0AAAFAF
Levomepromazine 25mg/1ml solution for injection ampoules,1,0402010L0AAAAAA
Bupivacaine 50mg/10ml (0.5%) solution for injection ampoules,1,1502010C0AAADAD
Bupivacaine 25mg/10ml (0.25%) solution for injection ampoules,1,1502010C0AAABAB
Sodium tetradecyl sulfate 3% solution for injection 2ml ampoules,1,0213000T0AAAFAF
Clonazepam 1mg/1ml solution for injection ampoules and diluent,1,0408020D0AAAAAA
Progesterone 100mg/2ml solution for injection ampoules,1,0604012S0AAAHAH
Flumazenil 500micrograms/5ml solution for injection ampoules,1,1501070F0AAAAAA
Suxamethonium chloride 100mg/2ml solution for injection ampoules,1,1501050P0AAAAAA
Clindamycin 300mg/2ml solution for injection ampoules,1,0501060E0AAAAAA
Propofol 200mg/20ml emulsion for injection ampoules,1,1501010L0AAAAAA
Guanethidine 10mg/1ml solution for injection ampoules,1,0205030N0AAAAAA
Propranolol 1mg/1ml solution for injection ampoules,1,0204000R0AAACAC
